rr(msec)	R1()	R2()	
530	912	1631	1868.663961
525	925	1640	1882.876788
521	921	1595	1841.810522
517	935	1559	1817.885035
513	976	1528	1813.107829
509	1026	1549	1857.976588
506	1323	1775	2213.809838
504	1910	1978	2749.651614
501	2271	2209	3168.141727
498	2253	2433	3315.946019
493	2424	2599	3553.952307
490	2828	2676	3893.399543
489	3322	2798	4343.326836
491	3653	2901	4664.784025
495	3495	2931	4561.335989
501	3321	2889	4401.745336
510	3253	2856	4328.827208
522	3170	2813	4238.144523
537	3137	2768	4183.610044
555	3068	2721	4100.788339
577	3104	2695	4110.698359
599	3048	2619	4018.639695
616	3035	2558	3969.205084
626	3027	2518	3937.391649
631	3000	2454	3875.837458
638	2997	2403	3841.408335
644	2924	2325	3735.692841
647	2995	2262	3753.22115
646	3031	2203	3747.021484
640	3032	2130	3705.391207
629	3096	2111	3747.203891
616	2964	2056	3607.274872
607	2809	2055	3480.446236
605	2645	1995	3313.012225
607	2488	1981	3180.330958
608	2372	1982	3091.069071
606	2227	1933	2948.901151
602	2172	1950	2918.918293
596	2075	1923	2829.055319
590	1959	1898	2727.651921
587	1906	1889	2683.497159
586	1777	1863	2574.586957
583	1683	1840	2493.609633
580	1581	1821	2411.555929
576	1530	1835	2389.168265
571	1474	1802	2328.063573
569	1388	1759	2240.675121
569	1341	1740	2196.788793
571	1315	1746	2185.804429
571	1281	1730	2152.640472
567	1208	1692	2078.972823
563	1182	1669	2045.161363
559	1171	1662	2033.097391
556	1151	1644	2006.872442
555	1103	1636	1973.095284
554	1001	1643	1923.915279
553	970	1606	1876.202548
551	943	1574	1834.863755
548	945	1541	1807.679728
544	942	1472	1747.612085
541	997	1440	1751.459106
538	1126	1533	1902.094898
536	1402	1707	2208.948392
533	2258	1833	2908.341968
530	2790	2034	3452.717191
526	2897	2207	3641.903074
523	3091	2401	3913.959887
522	3190	2597	4113.454631
525	3337	2788	4348.392002
533	3538	2891	4568.952287
551	3619	2938	4661.438083
577	3368	2928	4462.802707
618	3151	2909	4288.482482
677	3113	2880	4240.892477
750	3048	2832	4160.592266
795	3005	2770	4086.921213
805	2916	2708	3979.487404
779	2748	2627	3801.661873
762	2713	2603	3759.784302
756	2662	2549	3685.59968
762	2582	2507	3598.85718
769	2598	2478	3590.27687
774	2555	2408	3510.909996
775	2508	2378	3456.146409
775	2451	2336	3385.896779
774	2384	2279	3298.074741
773	2310	2233	3212.847491
766	2290	2173	3156.901804
752	2281	2113	3109.297348
729	2168	2051	2984.430431
704	2036	1996	2851.194837
685	1976	1959	2782.49115
671	1899	1901	2687.006141
659	1848	1870	2629.069037
648	1808	1844	2582.479429
636	1695	1792	2466.635157
625	1652	1793	2438.022354
616	1596	1750	2368.483903
608	1521	1718	2294.551154
602	1498	1714	2276.356738
596	1450	1672	2213.16154
592	1403	1638	2156.722745
589	1366	1597	2101.51493
587	1322	1553	2039.483513
585	1311	1536	2019.410062
584	1230	1498	1938.273459
587	1198	1480	1904.101888
593	1135	1446	1838.243999
599	1099	1431	1804.3176
602	1068	1397	1758.474623
604	1012	1370	1703.245138
612	981	1356	1673.647812
622	929	1320	1614.13785
629	915	1291	1582.373534
630	894	1214	1507.657786
629	955	1218	1547.756118
634	1060	1225	1619.945987
643	1154	1246	1698.302682
642	1290	1435	1929.591926
632	1751	1643	2401.135148
614	2289	1829	2929.97645
600	2723	2028	3395.219139
590	2920	2228	3672.925809
584	3195	2359	3971.511803
582	3537	2487	4323.833716
587	3812	2637	4635.203663
600	4007	2793	4884.352362
622	4031	2860	4942.525771
653	3866	2864	4811.28382
692	3686	2873	4673.406145
732	3566	2852	4566.208493
770	3471	2785	4450.175952
806	3378	2743	4351.428846
837	3314	2677	4260.155514
862	3232	2619	4159.926081
882	3119	2599	4059.921428
895	3064	2548	3985.021957
896	3046	2516	3950.743221
885	2963	2465	3854.295526
870	2916	2417	3787.472112
857	2862	2357	3707.62633
844	2839	2309	3659.426458
832	2686	2268	3515.454451
820	2576	2234	3409.77008
805	2601	2207	3411.16549
788	2602	2149	3374.700727
771	2621	2075	3342.942716
756	2609	2013	3295.307269
742	2565	1967	3232.385187
729	2475	1906	3123.85355
717	2380	1890	3039.161068
707	2280	1880	2955.131131
699	2170	1853	2853.508192
698	2102	1858	2805.453261
704	1984	1832	2700.45922
711	1883	1819	2618.100456
715	1801	1811	2554.079482
717	1712	1781	2470.405837
719	1638	1772	2413.095108
724	1552	1736	2328.604732
732	1471	1703	2250.344418
737	1422	1695	2212.489322
739	1397	1709	2207.326437
738	1344	1677	2149.107954
734	1294	1629	2080.403086
727	1221	1613	2023.02002
717	1126	1551	1916.631681
712	1122	1527	1894.89129
713	1100	1501	1860.914023
718	1004	1442	1757.094192
722	1004	1476	1785.102798
722	977	1461	1757.569344
